# MLER wave profile generated on 21-Mar-2016 13:58:16
#
# Config: C
# Source RAO: ../RAO_data/RAO_heave_RM3float.dat
#
### Setup 
# x0:          0.000   (m, peak position) 
# x_start:    -600.000   (m, start position) 
# Rho:        1025.000   (kg/m^3, density of water) 
# g:           9.801   (m/s^2, gravity) 
# depth:      70.000   (m, water depth) 
# startTime:  -150.000   (s) 
# endTime:    150.000   (s) 
# dt:          0.250   (s) 
# t0:          0.000   (s, response peak time) 
#
### Wave info:
# NumFreq: 500.000000    (-, number of frequencies)
# dW:       0.01257 (rad/s, frequency spacing)
# Hs:       9.000  (m, significant wave height) 
# Tp:      15.100  (s, wave period) 
#
# Max wave elevation:   8.550  (m) 
# Min wave elevation:  -7.763  (m) 
# Max WEC Response:     8.563  (m) 
# Min WEC Response:    -7.789  (m) 
#
# Probability of wave exceeding Max wave elevation:  0.00727704
#
# Note: Phase is calculated at X0 and t0.  For starting at a different point along x or in time, phase must be adjusted.
#
#Form of equation for wave elevation:
#   WaveElev = sum( sqrt(SpectAmp) * cos( -k*(x-X0) + w*(t-T0) + Phase) ) * dw
#
#
#   frequency      SpectAmp      Phase     wavenumber
#   (rad/s)          (m^2)       (rad)      (rad^2/m)
2.638938     0.00000091    -0.10398958     0.71053901
2.651504     0.00000082    -0.13280130     0.71732216
2.664071     0.00000074    -0.16359578     0.72413754
2.676637     0.00000067    -0.19623211     0.73098514
2.689203     0.00000061    -0.23056940     0.73786496
2.701770     0.00000055    -0.26646675     0.74477700
2.714336     0.00000050    -0.30378326     0.75172127
2.726902     0.00000045    -0.34237802     0.75869777
2.739469     0.00000041    -0.38211015     0.76570649
2.752035     0.00000037    -0.42283873     0.77274743
2.764602     0.00000034    -0.46442287     0.77982059
2.777168     0.00000031    -0.50672168     0.78692598
2.789734     0.00000028    -0.54959424     0.79406360
2.802301     0.00000025    -0.59289967     0.80123344
2.814867     0.00000023    -0.63649706     0.80843550
2.827433     0.00000021    -0.68024551     0.81566979
2.840000     0.00000019    -0.72400412     0.82293630
2.852566     0.00000017    -0.76763200     0.83023503
2.865133     0.00000015    -0.81098824     0.83756599
2.877699     0.00000014    -0.85393195     0.84492917
2.890265     0.00000012    -0.89632222     0.85232458
2.902832     0.00000011    -0.93801816     0.85975221
2.915398     0.00000010    -0.97887886     0.86721206
2.927964     0.00000009    -1.01876343     0.87470414
2.940531     0.00000008    -1.05753097     0.88222844
2.953097     0.00000008    -1.09504058     0.88978497
2.965663     0.00000007    -1.13115135     0.89737372
2.978230     0.00000006    -1.16572239     0.90499469
2.990796     0.00000006    -1.19861280     0.91264789
3.003363     0.00000005    -1.22968168     0.92033331
3.015929     0.00000005    -1.25878813     0.92805096
3.028495     0.00000004    -1.28579125     0.93580083
3.041062     0.00000004    -1.31055014     0.94358292
3.053628     0.00000004    -1.33292391     0.95139724
3.066194     0.00000003    -1.35277164     0.95924378
3.078761     0.00000003    -1.36995245     0.96712255
3.091327     0.00000003    -1.38432543     0.97503354
3.103894     0.00000003    -1.39574969     0.98297675
3.116460     0.00000002    -1.40408432     0.99095219
3.129026     0.00000002    -1.40918842     0.99895985
3.141593     0.00000002    -1.41092110     1.00699973
3.154159     0.00000002    -1.40827402     1.01507184
3.166725     0.00000002    -1.40044562     1.02317618
3.179292     0.00000002    -1.38760515     1.03131274
3.191858     0.00000001    -1.36992186     1.03948152
3.204425     0.00000001    -1.34756503     1.04768252
3.216991     0.00000001    -1.32070390     1.05591575
3.229557     0.00000001    -1.28950772     1.06418121
3.242124     0.00000001    -1.25414576     1.07247889
3.254690     0.00000001    -1.21478728     1.08080879
3.267256     0.00000001    -1.17160152     1.08917091
3.279823     0.00000001    -1.12475775     1.09756526
3.292389     0.00000001    -1.07442521     1.10599184
3.304955     0.00000001    -1.02077318     1.11445063
3.317522     0.00000001    -0.96397090     1.12294166
3.330088     0.00000001    -0.90418763     1.13146490
3.342655     0.00000001    -0.84159263     1.14002037
3.355221     0.00000001    -0.77635515     1.14860807
3.367787     0.00000000    -0.70864445     1.15722798
3.380354     0.00000000    -0.63862978     1.16588012
3.392920     0.00000000    -0.56648041     1.17456449
3.405486     0.00000000    -0.49236559     1.18328108
3.418053     0.00000000    -0.41645458     1.19202989
3.430619     0.00000000    -0.33891662     1.20081093
3.443186     0.00000000    -0.25992099     1.20962419
3.455752     0.00000000    -0.17963693     1.21846968
3.468318     0.00000000    -0.09823370     1.22734739
3.480885     0.00000000    -0.01588056     1.23625732
3.493451     0.00000000     0.06725324     1.24519948
3.506017     0.00000000     0.15099843     1.25417386
3.518584     0.00000000     0.23518577     1.26318047
3.531150     0.00000000     0.31964599     1.27221930
