# RAO Surge data generated on 04-Feb-2016 22:15:14
#
#  time period       Amplitude         Phase delay
# (s)               (m)             (radians)
 53.60000000     0.00000000     0.00000000
 54.00000000     0.00000000     0.00000000
 54.40000000     0.00000000     0.00000000
 54.80000000     0.00000000     0.00000000
 55.20000000     0.00000000     0.00000000
 55.60000000     0.00000000     0.00000000
 56.00000000     0.00000000     0.00000000
 56.40000000     0.00000000     0.00000000
 56.80000000     0.00000000     0.00000000
 57.20000000     0.00000000     0.00000000
 57.60000000     0.00000000     0.00000000
 58.00000000     0.00000000     0.00000000
 58.40000000     0.00000000     0.00000000
 58.80000000     0.00000000     0.00000000
 59.20000000     0.00000000     0.00000000
 59.60000000     0.00000000     0.00000000
 60.00000000     0.00000000     0.00000000
 60.40000000     0.00000000     0.00000000
 60.80000000     0.00000000     0.00000000
 61.20000000     0.00000000     0.00000000
 61.60000000     0.00000000     0.00000000
 62.00000000     0.00000000     0.00000000
 62.40000000     0.00000000     0.00000000
 62.80000000     0.00000000     0.00000000
 63.20000000     0.00000000     0.00000000
 63.60000000     0.00000000     0.00000000
 64.00000000     0.00000000     0.00000000
